celltype,gene,per_exp,avg_exp,scaled_avg_exp
MEP,CD14,0.00579413769597819,0.00303279637781188,0.00379727157013427
MEP,ITGAM,0.0635082935696433,0.0330988625434574,0.0688053535924031
MEP,FCGR3A,0.00323790047716428,0.00198297532117711,0.00124553761719276
MEP,FCER1G,0.20182912974324,0.133679786516192,0.0525788615408383
MEP,FCER1A,0.246762099522836,0.288312106072118,0.614751556668142
MEP,CLEC10A,0.000681663258350375,0.000424434393887775,0.00193478002430834
MEP,IL3RA,0.21177005226085,0.154990442726944,0.168120489791189
MEP,IRF8,0.0276641672347194,0.0180063649238833,0.0110822959908114
MEP,CD4,0.026982503976369,0.0154204054685858,0.0507402266324463
MEP,IL7R,0.0186889343331061,0.0146861339831855,0.0108013969370642
MEP,CD3E,0.0109634174051352,0.00591230042598238,0.00423869661098786
MEP,CCR7,0.0238014087707339,0.014473320152409,0.0181214127858829
MEP,CD8A,0.00522608498068621,0.0034438907736876,0.00410813078667439
MEP,CCL5,0.0668598045898659,0.0472552472080796,0.0171086153565142
MEP,GNLY,0.0454442172233583,0.0349453473214019,0.0104102256363308
MEP,KLRB1,0.0118723017496024,0.00715260535531749,0.00524069722582722
MEP,NKG7,0.144058168598046,0.0939399581939361,0.0309972875131866
MEP,CXCL12,0.00227221086116792,0.00151431911985912,0.000518219769904382
MEP,VCAM1,0.000227221086116792,8.43168529879713e-05,8.0038129055201e-05
Plasma,SDC1,0.485281749369218,0.648903219028595,1
Plasma,MME,0.00210260723296888,0.00127572930193441,0.00280699564694104
Plasma,CD19,0.128259041211102,0.115138542417999,0.323979816028952
Plasma,CD79A,0.419259882253995,0.610204228557609,0.346551054169777
Plasma,MS4A1,0.0672834314550042,0.0997584711101757,0.0631524976239106
Plasma,KIT,0.043313708999159,0.0514938877670317,0.269486418491747
Plasma,CD34,0.00672834314550042,0.0055902113961312,0.0122823198761467
Plasma,CLC,0.00672834314550042,0.0061408286122792,0.0475637688400273
Plasma,GYPA,0.0836837678721615,0.075280666501262,0.0447431573087148
Plasma,PPBP,0.0130361648444071,0.00776066050883095,0.00263808731563246
Plasma,ITGA2B,0.00462573591253154,0.00487081747266613,0.0044245353299795
Plasma,CD33,0.0088309503784693,0.00620063105971394,0.0180265330061415
Plasma,MPO,0.108494533221194,0.108019829587889,0.0544468740746012
Plasma,CTSG,0.0218671152228764,0.0169198230151389,0.0192505551972079
Plasma,AZU1,0.048780487804878,0.0482739084819178,0.0293802234407029
Plasma,LYZ,0.347771236333053,0.452450224142137,0.101794505124007
Plasma,S100A8,0.278805719091674,0.33834401802355,0.0862738675255068
Plasma,S100A9,0.311606391925988,0.397305619987388,0.0938965650739004
Plasma,CD14,0.0201850294365013,0.0137035499747686,0.0171577957260178
Plasma,ITGAM,0.0142977291841884,0.0138191758158116,0.0287270681013313
Plasma,FCGR3A,0.0185029436501262,0.0112257015306981,0.00705103759312697
Plasma,FCER1G,0.1013456686291,0.0771675029772932,0.0303514806556327
Plasma,FCER1A,0.0109335576114382,0.00765866826324636,0.0163301440961965
Plasma,CLEC10A,0.0016820857863751,0.000623446925988213,0.00284197670120338
Plasma,IL3RA,0.00925147182506308,0.0107031832253995,0.0116099055820439
Plasma,IRF8,0.0235492010092515,0.0180562410302776,0.0111129930124628
Plasma,CD4,0.0121951219512195,0.00726970295206039,0.0239206664240806
Plasma,IL7R,0.0605550883095038,0.0649936385365857,0.0478016943752177
Plasma,CD3E,0.0622371740958789,0.0458896718755257,0.0328996131190028
Plasma,CCR7,0.0231286795626577,0.0221139076030274,0.0276878590236003
Plasma,CD8A,0.0298570227081581,0.0193043319722458,0.0230276526471973
Plasma,CCL5,0.131202691337258,0.148620439903279,0.0538075682733154
Plasma,GNLY,0.145079899074853,0.135452866745162,0.0403514348544303
Plasma,KLRB1,0.0656013456686291,0.0509141363246424,0.0373046686818216
Plasma,NKG7,0.139613120269134,0.127469725306981,0.0420610760376351
Plasma,CXCL12,0.00925147182506308,0.00715958069386039,0.0024501019706661
Plasma,VCAM1,0.00294365012615643,0.00193161242640874,0.00183359125952659
Late.Eryth,SDC1,0.00221437233089049,0.00138287182638263,0.00213109102533468
Late.Eryth,MME,0.00253071123530342,0.00111430051373453,0.00245180281325685
Late.Eryth,CD19,0.00627405493752307,0.00218938040612683,0.00616053535417587
Late.Eryth,CD79A,0.0350608952390995,0.0129603889978372,0.0073605462883593
Late.Eryth,MS4A1,0.0183476564559498,0.00819352016781781,0.005186940589317
Late.Eryth,KIT,0.119365213265145,0.0396715688865939,0.207615883725166
Late.Eryth,CD34,0.0212474297464016,0.00863549251531573,0.0189731432043128
Late.Eryth,CLC,0.0112300311066589,0.00415335054958595,0.032169763711869
Late.Eryth,GYPA,0.79142721569041,1.68250680169589,1
Late.Eryth,PPBP,0.0118627089154848,0.0053390527615321,0.00181490832534975
Late.Eryth,ITGA2B,0.0834607476142774,0.0410846604254759,0.0373203333101348
Late.Eryth,CD33,0.0152897137132915,0.00566777445457876,0.0164774072659539
Late.Eryth,MPO,0.128222702588707,0.0643003639595085,0.0324102883036477
Late.Eryth,CTSG,0.021827384404492,0.0105443986526599,0.0119969061202811
Late.Eryth,AZU1,0.0643222438972953,0.0325660970877303,0.0198202142548191
Late.Eryth,LYZ,0.409237096008857,0.338448182518383,0.0761457579447574
Late.Eryth,S100A8,0.276849264512047,0.241738487185117,0.0616405584501086
Late.Eryth,S100A9,0.308061369747456,0.287967976896131,0.0680564344463221
Late.Eryth,CD14,0.0237781409817051,0.00929732835551031,0.0116409004247276
Late.Eryth,ITGAM,0.0175568091949175,0.00715660904528928,0.0148770373978019
Late.Eryth,FCGR3A,0.0232509094743502,0.00925613698307634,0.00581392349122481
Late.Eryth,FCER1G,0.114461960246744,0.0610745367455649,0.0240218038560895
Late.Eryth,FCER1A,0.0194548426213951,0.00829880613455028,0.0176950737837758
Late.Eryth,CLEC10A,0.00358517425001318,0.00121822923530333,0.00555328602826784
Late.Eryth,IL3RA,0.0118099857647493,0.00489512933621534,0.00530982121940008
Late.Eryth,IRF8,0.0318975061949702,0.0132934863297313,0.00818168191518109
Late.Eryth,CD4,0.0531976590921073,0.0139212165362999,0.0458072054908164
Late.Eryth,IL7R,0.0402804871619128,0.0212176728293357,0.0156052305237587
Late.Eryth,CD3E,0.0573100648494754,0.0252236307110237,0.018083539453065
Late.Eryth,CCR7,0.0317393367427637,0.0138754510142354,0.0173728469191228
Late.Eryth,CD8A,0.0192966731691886,0.00886061225581103,0.0105696017640842
Late.Eryth,CCL5,0.108767859967312,0.0581490212512851,0.0210526723850449
Late.Eryth,GNLY,0.185216428533769,0.119433391169154,0.0355792300230365
Late.Eryth,KLRB1,0.0683292033531924,0.0301900908516318,0.022120209002723
Late.Eryth,NKG7,0.161701903305742,0.0931054430059655,0.0307219232516629
Late.Eryth,CXCL12,0.00411240575736806,0.00193316147108131,0.000661553089830215
Late.Eryth,VCAM1,0.000843570411767807,0.000455297421679735,0.000432193001796469
NK,SDC1,0.000362581580855693,0.000374900020848475,0.000577744122474379
NK,MME,0.000725163161711385,0.000737543938542325,0.00162282282124965
NK,CD19,0.00299129804205946,0.0030840836802029,0.00867807462511205
NK,CD79A,0.0178571428571429,0.0198863528308579,0.0112939835789344
NK,MS4A1,0.0143219724437999,0.0169206438478974,0.0107116810082144
NK,KIT,0.00371646120377085,0.00391244874546765,0.0204752805754092
NK,CD34,0.00226613488034808,0.00271160426758534,0.00595769795307864
NK,CLC,0.00208484408992023,0.00252537720177664,0.0195603012301946
NK,GYPA,0.018854242204496,0.0208580624564917,0.0123970152367097
NK,PPBP,0.00616388687454677,0.00711440487672151,0.00241840513989704
